NAME                                                   READY   STATUS    RESTARTS      AGE   IP             NODE                                        NOMINATED NODE   READINESS GATES
certmanager-cert-manager-5f77cf4598-rgjh2              1/1     Running   0             17h   10.0.179.77    ip-10-0-188-41.us-east-2.compute.internal   <none>           <none>
certmanager-cert-manager-cainjector-558bf5b55d-f2bx5   1/1     Running   0             17h   10.0.189.232   ip-10-0-188-41.us-east-2.compute.internal   <none>           <none>
certmanager-cert-manager-webhook-74b6ddbb48-hjh5x      1/1     Running   0             17h   10.0.185.235   ip-10-0-188-41.us-east-2.compute.internal   <none>           <none>
coordinator-9b999cd76-t8sx6                            1/1     Running   1 (14m ago)   17h   10.0.186.177   ip-10-0-185-3.us-east-2.compute.internal    <none>           <none>
externaldns-external-dns-656c894cb-bl822               1/1     Running   0             17h   10.0.177.105   ip-10-0-188-41.us-east-2.compute.internal   <none>           <none>
hive-566c674cc9-b5878                                  1/1     Running   0             17h   10.0.188.151   ip-10-0-188-41.us-east-2.compute.internal   <none>           <none>
nginx-ingress-nginx-controller-6547cdd79b-lbt69        1/1     Running   0             17h   10.0.189.160   ip-10-0-188-41.us-east-2.compute.internal   <none>           <none>
ranger-7855c458d8-kt2qk                                1/1     Running   3 (14m ago)   17h   10.0.185.94    ip-10-0-188-41.us-east-2.compute.internal   <none>           <none>
worker-5d58dd7855-7wclj                                1/1     Running   0             17h   10.0.182.151   ip-10-0-185-3.us-east-2.compute.internal    <none>           <none>
