NAME                                             TYPE                             DATA   AGE
certmanager-cert-manager-webhook-ca              Opaque                           3      125d
datasources-secret-ranger-starburst-ranger       Opaque                           1      202d
hive-database-password                           Opaque                           1      202d
hive-object-storage-secret                       Opaque                           5      202d
init-secret-ranger-starburst-ranger              Opaque                           2      202d
letsencrypt                                      Opaque                           1      125d
nginx-ingress-nginx-admission                    Opaque                           3      125d
postgrejdbc                                      Opaque                           1      47d
ranger-database-password                         Opaque                           2      202d
ranger-password-secret                           Opaque                           7      202d
registry-secret-hive-starburst-hive              kubernetes.io/dockerconfigjson   1      202d
registry-secret-ranger-starburst-ranger          kubernetes.io/dockerconfigjson   1      202d
registry-secret-starburst-starburst-enterprise   kubernetes.io/dockerconfigjson   1      7d2h
sh.helm.release.v1.certmanager.v1                helm.sh/release.v1               1      125d
sh.helm.release.v1.externaldns.v1                helm.sh/release.v1               1      125d
sh.helm.release.v1.hive.v1                       helm.sh/release.v1               1      202d
sh.helm.release.v1.hive.v2                       helm.sh/release.v1               1      202d
sh.helm.release.v1.nginx.v1                      helm.sh/release.v1               1      125d
sh.helm.release.v1.ranger.v1                     helm.sh/release.v1               1      202d
sh.helm.release.v1.starburst.v1                  helm.sh/release.v1               1      7d2h
sh.helm.release.v1.starburst.v2                  helm.sh/release.v1               1      7d2h
sh.helm.release.v1.starburst.v3                  helm.sh/release.v1               1      6d2h
sh.helm.release.v1.starburst.v4                  helm.sh/release.v1               1      6d1h
sh.helm.release.v1.starburst.v5                  helm.sh/release.v1               1      19h
sh.helm.release.v1.starburst.v6                  helm.sh/release.v1               1      19h
sh.helm.release.v1.starburst.v7                  helm.sh/release.v1               1      19h
starburstdata                                    Opaque                           1      202d
tls-secret-starburst                             kubernetes.io/tls                2      125d
values-yaml-secret                               Opaque                           1      7d2h
